,multinomial_ranks,rpvals,rstats,tpvals,tstats
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus_vulcanius,0.20097997658316655,1.0,,,
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus_aeolicus,-2.883587212633447,0.12267649618809409,-0.22118380802722912,,
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus_maripaludis,-4.54033264644082,0.16974473989039096,-0.19725018505697753,0.3298768009211248,-1.0000000000000002
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus_vannielii,-3.0573042345755863,0.32870179334593697,-0.1410054795637569,,
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella_arvoryzae,0.10285988323752447,0.032834919390330286,-0.302350915962681,0.025317500839549735,2.427398198407871
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella_paludicola,1.5747160898930268,0.06969128832323872,-0.2586828664380438,0.0018522193741655336,3.613142159404366
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanicorpusculaceae;Methanocorpusculum;Methanocorpusculum_labreanum,-0.4284027529471679,0.12852786865657034,-0.21787011027173497,0.19460352267761505,1.3445510050143714
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methaniculleus;Methaniculleus_marisnigri,1.2356422689220743,0.012512833759596347,-0.35074931726887487,0.0005317300352324574,4.159972479676686
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula_boonei,1.4994512783772187,0.04346607623911823,-0.28678293536259575,0.003051713852478797,3.39310067725382
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;Methanosphaerula_palustris,1.1786467345840173,0.06029778156920434,-0.26757632215676014,0.0712296273272307,1.9108651086662176
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;Methanospirillum_hungatei,-3.825938077043848,0.32870179334593697,-0.14100547956375692,,
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanisaeta;Methanosaeta_thermophila,-0.1353504372351928,0.15896873690936106,-0.2022489287281043,0.1639561159336852,1.447863107038851
