,raw_tstats,cell_tstats,raw_pvalues,cell_pvalues,multinomial_ranks,taxonomy
634e4c7b48dcbd5f4ffe22ecf885f34f,1.1262681335837093,1.1262681335837093,0.24332745996624155,0.2820719206613631,-0.8509589955762751,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Oribacterium; s__
636a2d98fc250b926f26832149ce0b96,-0.4235907085800727,-0.4235907085800727,0.7938058883554532,0.6793576755215688,0.2992400600954168,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
636eb3a796e5b40f3162852c5ff21ef5,,,,,0.5818405225320928,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
6394aa3b5c15928ccbf0c94d7b4ce958,0.9137559639261993,0.9137559639261993,0.5979152618606849,0.37883884651146127,0.005056209807025702,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
63aa2386a172bfacfe644fad139c104c,,,,,0.4360034539743536,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
64a1a214f39d7bf57a2258bc1941c500,1.0,1.0,0.3370490579535843,0.3370490579535843,0.8980021252676123,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas
6521c7e1cc2ca719c0196642afb65453,1.0797826423724044,1.0797826423724044,0.5209659583087991,0.30146383024111123,0.27187640214406184,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria
6630fb0bce391a5ec1dc67ee0b618f6e,2.0258072615534717,2.0258072615534717,0.6068474640718549,0.06561098429947079,1.2539094611450308,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria
667f039061ef0749c8174da1384ff1a1,-1.6415669266554596,-1.6415669266554596,0.05204482541210437,0.1266087345017706,-1.9153341577009089,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Schwartzia; s__
6725204b0d15c8bf05be7afb6b109722,,,,,-1.0799598023847468,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
6837e1794b8f276fa12f9e6b3c4a4319,1.0,1.0,0.3370490579535843,0.3370490579535843,0.6387638523622625,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae
68d0828e905f340feeb5f08cba1157e6,-1.0000000000000002,-1.0000000000000002,0.3370490579535843,0.3370490579535843,0.3417968227907293,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae
68fcca1b1c4cf725a0276c7d3cb48c43,,,,,0.4360034539743536,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3; f__; g__; s__
69b4f7cc7375046f80e8b43f92aa072b,,,,,-0.2666560933545954,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__intermedia
69ebb9d52a562cadc7f4ac3194e13bd9,,,,,-0.027601175065410818,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__Anaerovorax; s__
